"","id","condition","prop_diff"
"1","muri011","control",0
"2","muri015","perspective",0.0290909090909091
"3","muri016 ","perspective",0
"4","muri018","perspective",0.05
"5","muri023","perspective",0.0994694960212202
"6","muri024","control",-0.000945083014048531
"7","muri028","mindful",0
"8","muri042","mindful",0.107142857142857
"9","muri043","perspective",0
"10","muri046","control",-0.016851322590453
"11","muri047","control",-0.18
"12","muri053","control",0
"13","muri055","control",-0.0446031746031746
"14","muri062","control",0
"15","muri077","perspective",0.180952380952381
"16","muri080","mindful",0
"17","muri082","mindful",0
"18","muri085","mindful",0.182222222222222
"19","muri087","mindful",-0.136904761904762
"20","muri089","control",0
"21","muri101 ","mindful",0.185185185185185
"22","muri104","perspective",0.0524475524475524
"23","muri106","control",0.00149014778325124
"24","muri116","control",-0.00373219373219374
"25","muri143","control",0
"26","muri146","perspective",-0.0634920634920635
"27","muri147","perspective",-0.00551724137931035
"28","muri151","perspective",0.125925925925926
"29","muri190","mindful",0.0412087912087912
"30","muri213","mindful",0
"31","muri223","perspective",0.0357142857142857
"32","muri230","mindful",-0.0910344827586207
"33","muri240","perspective",0.0357142857142857
"34","muri245","mindful",0.0454545454545455
"35","muri248","mindful",-0.05
"36","muri249","perspective",0.0113636363636364
"37","muri254","control",0
"38","muri275","mindful",-0.04
"39","muri292","control",0
"40","muri300","control",0.0180708180708181
"41","muri308","mindful",0
"42","muri311","control",0.00434782608695652
"43","muri318","perspective",0
"44","muri319","control",0.0468617791944364
"45","muri321","mindful",-0.2003367003367
"46","muri326","perspective",0
"47","muri329","control",0.00661558109833974
"48","muri330","mindful",0.0686813186813187
"49","muri340","mindful",-0.157692307692308
"50","muri341","perspective",0.0955882352941176
"51","muri344","perspective",0.04
"52","muri345","control",-0.0282947368421053
"53","muri354","mindful",0.0383597883597884
"54","muri359","mindful",0.04
"55","muri366","control",0
"56","muri371","mindful",0
"57","muri374","mindful",0
"58","muri378","control",0
"59","muri379","perspective",0
"60","muri381","control",-0.00648148148148148
"61","muri383","control",0
"62","muri385","perspective",0
"63","muri387","perspective",-0.0384615384615385
"64","muri388","mindful",0.16
"65","muri395","control",0
"66","muri398","mindful",0
"67","muri401","control",0.0121225071225071
"68","muri403","control",0
"69","muri406","mindful",0
"70","muri410","mindful",0
"71","muri417","mindful",0.153846153846154
"72","muri429","control",0
"73","muri432","perspective",0.0384615384615385
"74","muri436","mindful",0
"75","muri437","perspective",0.0277777777777778
"76","muri439","control",0
"77","muri440","control",0.0216978653530378
"78","muri442","perspective",-0.0169172932330827
"79","muri449","perspective",0
"80","muri451","perspective",0
"81","muri453","control",0.024703557312253
"82","muri457","control",0.0534313725490196
"83","muri462","perspective",0
"84","muri463","mindful",0
"85","muri464","mindful",0.037037037037037
"86","muri466","mindful",-0.0384615384615385
"87","muri477","control",-0.0271672327672328
"88","muri478","perspective",0
"89","muri482","perspective",0.037037037037037
"90","muri487","control",-0.0160989010989011
"91","muri493","mindful",0
"92","muri499","perspective",0
"93","muri501","perspective",-0.0695488721804511
"94","muri507","perspective",0
"95","muri508","control",-0.0187830687830688
"96","muri510","perspective",0
"97","muri520","mindful",0.171851851851852
"98","muri521","mindful",0
"99","muri526","mindful",0.0616883116883117
"100","muri528","mindful",0.0357142857142857
"101","muri529","perspective",0.0689655172413793
"102","muri532","mindful",0
"103","muri535","control",0
"104","muri536","control",0
"105","muri540","control",-0.0031015873015873
"106","muri544","control",-0.00272167487684729
"107","muri545","perspective",0
"108","muri548","mindful",-0.0252631578947368
"109","muri552","perspective",0.0714285714285714
"110","muri554","perspective",0
"111","muri555","perspective",0
"112","muri557","control",0
"113","muri560","perspective",-0.0278514588859416
"114","muri562","mindful",0.0494071146245059
"115","muri566","control",-0.000582791121921559
"116","muri567","control",-0.00582375478927203
"117","muri570","mindful",-0.0158102766798419
"118","muri571","control",-0.0107828171828172
"119","muri577","perspective",0.0148148148148148
"120","muri579","perspective",0
"121","muri581","mindful",-0.030690537084399
"122","muri582","control",0
"123","muri583","mindful",-0.0158730158730159
"124","muri584","mindful",0.0769230769230769
"125","muri586","mindful",0
"126","muri587","mindful",0.203296703296703
"127","muri590","perspective",0
"128","muri596","mindful",0.132413793103448
"129","muri603","mindful",0
"130","muri605","perspective",0.012987012987013
"131","muri610","perspective",0.0344827586206897
"132","muri612","perspective",0
"133","muri614","control",-0.0355555555555556
"134","muri616","perspective",0.339920948616601
"135","muri620","mindful",0
"136","muri622","mindful",0.0357142857142857
"137","muri623","mindful",0.0357142857142857
"138","muri624","mindful",0.115384615384615
"139","muri626","control",0.0133627510420614
"140","muri627","mindful",0
"141","muri628","mindful",0
"142","muri629","perspective",0
"143","muri632","control",0.0432311621966794
"144","muri633","control",0
"145","muri647","mindful",0
"146","muri667","control",-0.0283774928774929
"147","muri674","mindful",-0.0178571428571428
"148","muri683","mindful",-0.385714285714286
"149","muri688","control",-0.0196666666666667
"150","muri690","perspective",0.107142857142857
"151","muric206","perspective",0.0648148148148148
"152","muric217","perspective",0
"153","muric220","perspective",0.0983397190293742
"154","muric221","mindful",0
"155","muric227","control",-0.035650428753877
